timestamp,src_ip,dst_port,decision
2025-06-26 12:46:04.833990,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.858752,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.875700,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.902120,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.921373,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.936778,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.962939,192.168.181.201,443,ALLOWED
2025-06-26 12:46:04.988393,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.023893,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.059572,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.080242,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.103668,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.121917,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.143534,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.158245,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.171802,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.192870,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.215161,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.238658,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.252725,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.272489,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.302983,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.319875,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.342116,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.359034,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.375454,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.392295,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.402941,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.419409,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.437481,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.447514,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.458317,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.468560,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.483806,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.488570,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.503102,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.518347,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:05.523456,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.540181,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:05.552050,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.874341,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.893406,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.915061,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.932606,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.955897,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.980488,192.168.181.201,443,ALLOWED
2025-06-26 12:46:05.990629,192.168.181.201,443,ALLOWED
2025-06-26 12:46:06.016892,192.168.181.201,443,ALLOWED
2025-06-26 12:46:06.036244,192.168.181.201,443,ALLOWED
2025-06-26 12:46:06.056991,192.168.181.201,443,ALLOWED
2025-06-26 12:46:06.085627,192.168.181.201,443,ALLOWED
2025-06-26 12:46:06.107628,192.168.181.201,443,ALLOWED
2025-06-26 12:46:06.171478,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.195711,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.220664,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.242523,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.264788,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.287178,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.307491,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:06.335330,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.268861,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.294414,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.341844,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.375469,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.418744,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.699013,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.739337,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:08.771917,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:08.789879,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:08.819338,192.168.181.201,443,ALLOWED
2025-06-26 12:46:08.969704,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:10.397144,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.419632,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.449619,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.482006,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.515145,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.549569,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.582366,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.614739,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.654355,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.735755,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:10.764580,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:10.782396,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:10.813866,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:10.838369,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:10.869099,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.889973,192.168.181.201,443,ALLOWED
2025-06-26 12:46:10.952895,52.187.79.109,59370,BLOCKED
2025-06-26 12:46:11.069543,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:12.545594,192.168.181.201,443,ALLOWED
2025-06-26 12:46:12.575745,192.168.181.201,443,ALLOWED
2025-06-26 12:46:12.592564,192.168.181.201,443,ALLOWED
2025-06-26 12:46:12.623938,192.168.181.201,443,ALLOWED
2025-06-26 12:46:12.656367,192.168.181.201,443,ALLOWED
